trading_date,ticker,open,high,low,close,adj_close,volume
2019-10-17,IBOVESPA,105389.0,105891.0,104827.0,105016.0,105016.0,4189000
2019-10-18,IBOVESPA,105012.0,105464.0,104525.0,104729.0,104729.0,4478100
2019-10-21,IBOVESPA,104729.0,106027.0,104696.0,106022.0,106022.0,3504900
2019-10-22,IBOVESPA,107101.0,107382.0,107076.0,107381.0,107381.0,5224900
2019-10-23,IBOVESPA,107381.0,107959.0,107041.0,107544.0,107544.0,4656200
2019-10-24,IBOVESPA,107553.0,107744.0,106593.0,106986.0,106986.0,5619200
2019-10-25,IBOVESPA,106990.0,108083.0,106990.0,107364.0,107364.0,5398900
2019-10-28,IBOVESPA,107366.0,108393.0,107362.0,108187.0,108187.0,3967200
2019-10-29,IBOVESPA,108189.0,108195.0,107313.0,107556.0,107556.0,4313200
2019-10-30,IBOVESPA,107557.0,108408.0,106622.0,108408.0,108408.0,5450600
2019-10-31,IBOVESPA,108403.0,108403.0,106356.0,107220.0,107220.0,5376000
2019-11-01,IBOVESPA,107221.0,108496.0,107220.0,108196.0,108196.0,5466300
2019-11-04,IBOVESPA,108196.0,109352.0,108196.0,108601.0,108601.0,5182200
2019-11-05,IBOVESPA,108779.0,109343.0,108253.0,108451.0,108451.0,5657600
2019-11-06,IBOVESPA,108719.0,109633.0,107446.0,108336.0,108336.0,5505500
2019-11-07,IBOVESPA,108360.0,109672.0,108360.0,109581.0,109581.0,6075600
2019-11-08,IBOVESPA,109572.0,109572.0,107127.0,107629.0,107629.0,5419600
2019-11-11,IBOVESPA,107622.0,108263.0,106814.0,108215.0,108215.0,3928900
2019-11-12,IBOVESPA,108368.0,108368.0,106232.0,106785.0,106785.0,5219300
2019-11-13,IBOVESPA,106751.0,106786.0,105261.0,105914.0,105914.0,5339000
2019-11-14,IBOVESPA,106052.0,106758.0,105820.0,106557.0,106557.0,5364300
2019-11-18,IBOVESPA,106566.0,107519.0,106282.0,106347.0,106347.0,4919800
2019-11-19,IBOVESPA,106269.0,106950.0,105367.0,105618.0,105618.0,3610300
2019-11-21,IBOVESPA,105866.0,107497.0,105864.0,107497.0,107497.0,5819400
2019-11-22,IBOVESPA,107497.0,108692.0,107157.0,108692.0,108692.0,4796100
2019-11-25,IBOVESPA,108692.0,108915.0,108080.0,108424.0,108424.0,4512400
2019-11-26,IBOVESPA,108424.0,108424.0,106414.0,107059.0,107059.0,6904900
2019-11-27,IBOVESPA,107059.0,107991.0,106312.0,107708.0,107708.0,4418200
2019-11-28,IBOVESPA,107708.0,108333.0,107148.0,108290.0,108290.0,3666100
2019-11-29,IBOVESPA,108283.0,108708.0,107759.0,108233.0,108233.0,4186600
2019-12-02,IBOVESPA,108246.0,109279.0,108245.0,109061.0,109061.0,4708000
2019-12-03,IBOVESPA,108931.0,109198.0,108190.0,108956.0,108956.0,5223100
2019-12-04,IBOVESPA,108962.0,110301.0,108962.0,110301.0,110301.0,4889500
2019-12-05,IBOVESPA,110297.0,111073.0,110008.0,110622.0,110622.0,4399100
2019-12-06,IBOVESPA,110623.0,111430.0,110623.0,111126.0,111126.0,4968100
2019-12-09,IBOVESPA,111125.0,111453.0,110870.0,110977.0,110977.0,4991500
2019-12-10,IBOVESPA,110973.0,111184.0,110133.0,110672.0,110672.0,4758800
2019-12-11,IBOVESPA,110672.0,111227.0,110530.0,110964.0,110964.0,5146100
2019-12-12,IBOVESPA,110963.0,112445.0,110963.0,112200.0,112200.0,5682000
2019-12-13,IBOVESPA,112205.0,112829.0,111780.0,112565.0,112565.0,7712100
2019-12-16,IBOVESPA,112565.0,113197.0,111896.0,111896.0,111896.0,6078300
2019-12-17,IBOVESPA,111897.0,112695.0,111897.0,112616.0,112616.0,5352500
2019-12-18,IBOVESPA,112618.0,114339.0,112300.0,114315.0,114315.0,7940900
2019-12-19,IBOVESPA,114313.0,115132.0,113712.0,115131.0,115131.0,5784600
2019-12-20,IBOVESPA,115133.0,115171.0,114526.0,115121.0,115121.0,6887400
2019-12-23,IBOVESPA,115119.0,115863.0,114964.0,115863.0,115863.0,3995200
2019-12-26,IBOVESPA,115864.0,117220.0,115673.0,117203.0,117203.0,3788900
2019-12-27,IBOVESPA,117205.0,117803.0,115995.0,116534.0,116534.0,3905900
2019-12-30,IBOVESPA,116530.0,117086.0,115790.0,115964.0,115964.0,3667900
2020-01-02,IBOVESPA,115652.0,118573.0,115649.0,118573.0,118573.0,5162700
2020-01-03,IBOVESPA,118564.0,118792.0,117341.0,117707.0,117707.0,6834500
2020-01-06,IBOVESPA,117707.0,117707.0,116269.0,116878.0,116878.0,6570000
2020-01-07,IBOVESPA,116872.0,117076.0,115965.0,116662.0,116662.0,4854100
2020-01-08,IBOVESPA,116667.0,117335.0,115693.0,116247.0,116247.0,5910500
2020-01-09,IBOVESPA,116248.0,116820.0,115411.0,115947.0,115947.0,5953500
2020-01-10,IBOVESPA,115948.0,116745.0,114952.0,115503.0,115503.0,4783400
2020-01-13,IBOVESPA,115503.0,117333.0,115503.0,117325.0,117325.0,5685100
2020-01-14,IBOVESPA,117325.0,117705.0,116610.0,117632.0,117632.0,5361700
2020-01-15,IBOVESPA,117632.0,117632.0,116188.0,116414.0,116414.0,5569400
2020-01-16,IBOVESPA,116415.0,117106.0,115961.0,116704.0,116704.0,5422700
2020-01-17,IBOVESPA,116710.0,118479.0,116710.0,118478.0,118478.0,4947200
2020-01-20,IBOVESPA,118478.0,118862.0,117928.0,118862.0,118862.0,3843500
2020-01-21,IBOVESPA,118861.0,118861.0,117026.0,117026.0,117026.0,5085600
2020-01-22,IBOVESPA,117035.0,118401.0,117035.0,118391.0,118391.0,5765700
2020-01-23,IBOVESPA,118391.0,119535.0,116906.0,119528.0,119528.0,6572400
2020-01-24,IBOVESPA,119528.0,119593.0,118108.0,118376.0,118376.0,4778700
2020-01-27,IBOVESPA,118347.0,118347.0,114376.0,114482.0,114482.0,6097800
2020-01-28,IBOVESPA,114482.0,116797.0,114475.0,116479.0,116479.0,5229400
2020-01-29,IBOVESPA,116494.0,117171.0,115164.0,115385.0,115385.0,5097800
2020-01-30,IBOVESPA,115375.0,115528.0,112825.0,115528.0,115528.0,6315600
2020-01-31,IBOVESPA,115518.0,115518.0,113148.0,113761.0,113761.0,6219900
2020-02-03,IBOVESPA,113761.0,115299.0,113467.0,114629.0,114629.0,5512200
2020-02-04,IBOVESPA,114631.0,116556.0,114631.0,115557.0,115557.0,5829400
2020-02-05,IBOVESPA,115563.0,117701.0,115562.0,116028.0,116028.0,7173800
2020-02-06,IBOVESPA,116033.0,117382.0,114723.0,115190.0,115190.0,7382400
2020-02-07,IBOVESPA,115190.0,115190.0,113769.0,113770.0,113770.0,6594100
2020-02-10,IBOVESPA,113771.0,114176.0,112134.0,112570.0,112570.0,7486300
2020-02-11,IBOVESPA,112574.0,115576.0,112574.0,115371.0,115371.0,6767900
2020-02-12,IBOVESPA,115371.0,117581.0,115371.0,116674.0,116674.0,8159200
2020-02-13,IBOVESPA,116660.0,116660.0,114801.0,115662.0,115662.0,5635700
2020-02-14,IBOVESPA,115663.0,115663.0,114132.0,114381.0,114381.0,5335900
2020-02-17,IBOVESPA,114381.0,115696.0,114381.0,115309.0,115309.0,0
2020-02-18,IBOVESPA,115309.0,115309.0,113532.0,114977.0,114977.0,5548400
2020-02-19,IBOVESPA,114982.0,116545.0,114774.0,116518.0,116518.0,6334100
2020-02-20,IBOVESPA,116518.0,116552.0,114379.0,114586.0,114586.0,6793000
2020-02-21,IBOVESPA,114585.0,114585.0,112661.0,113681.0,113681.0,5896200
2020-02-26,IBOVESPA,113647.0,113647.0,105053.0,105718.0,105718.0,9369800
2020-02-27,IBOVESPA,105711.0,106656.0,102984.0,102984.0,102984.0,11237700
2020-02-28,IBOVESPA,102984.0,104172.0,99951.0,104172.0,104172.0,11228400
2020-03-02,IBOVESPA,104260.0,107220.0,103779.0,106625.0,106625.0,8858400
2020-03-03,IBOVESPA,106630.0,108804.0,104405.0,105537.0,105537.0,9385600
2020-03-04,IBOVESPA,105540.0,107809.0,105042.0,107224.0,107224.0,8410500
2020-03-05,IBOVESPA,107217.0,107217.0,100536.0,102233.0,102233.0,8598600
2020-03-06,IBOVESPA,102231.0,102231.0,96886.0,97997.0,97997.0,11864200
2020-03-09,IBOVESPA,97982.0,97982.0,85880.0,86067.0,86067.0,14645500
2020-03-10,IBOVESPA,86071.0,92230.0,86071.0,92214.0,92214.0,13531700
2020-03-11,IBOVESPA,92202.0,92202.0,80796.0,85171.0,85171.0,11786900
2020-03-12,IBOVESPA,85103.0,85103.0,68488.0,72583.0,72583.0,12008700
2020-03-13,IBOVESPA,72621.0,83758.0,72621.0,82678.0,82678.0,15766300
2020-03-16,IBOVESPA,82565.0,82565.0,70855.0,71168.0,71168.0,12847800
2020-03-17,IBOVESPA,71178.0,77255.0,70783.0,74617.0,74617.0,14945900
2020-03-18,IBOVESPA,74576.0,74576.0,63547.0,66895.0,66895.0,16751500
2020-03-19,IBOVESPA,66883.0,70071.0,61691.0,68332.0,68332.0,16144700
2020-03-20,IBOVESPA,68344.0,72247.0,66120.0,67069.0,67069.0,15152400
2020-03-23,IBOVESPA,67067.0,67604.0,62161.0,63570.0,63570.0,11962200
2020-03-24,IBOVESPA,63604.0,71535.0,63604.0,69729.0,69729.0,11679900
2020-03-25,IBOVESPA,69727.0,76714.0,69360.0,74956.0,74956.0,12951100
2020-03-26,IBOVESPA,74956.0,78846.0,74923.0,77710.0,77710.0,12758000
2020-03-27,IBOVESPA,77708.0,77708.0,73057.0,73429.0,73429.0,10301400
2020-03-30,IBOVESPA,73431.0,75430.0,73184.0,74640.0,74640.0,9032200
2020-03-31,IBOVESPA,74629.0,75511.0,72385.0,73020.0,73020.0,11141500
2020-04-01,IBOVESPA,73011.0,73011.0,69569.0,70967.0,70967.0,10093500
2020-04-02,IBOVESPA,70969.0,73861.0,70957.0,72253.0,72253.0,10540200
2020-04-03,IBOVESPA,72241.0,72241.0,67802.0,69538.0,69538.0,10411300
2020-04-06,IBOVESPA,69556.0,75260.0,69556.0,74073.0,74073.0,9685400
2020-04-07,IBOVESPA,74078.0,79855.0,74078.0,76358.0,76358.0,11286500
2020-04-08,IBOVESPA,76335.0,79058.0,76115.0,78625.0,78625.0,10206300
2020-04-09,IBOVESPA,78640.0,80428.0,77457.0,77682.0,77682.0,10748700
2020-04-13,IBOVESPA,77682.0,78836.0,76405.0,78836.0,78836.0,7651300
2020-04-14,IBOVESPA,78848.0,81668.0,78848.0,79918.0,79918.0,8593600
2020-04-15,IBOVESPA,79911.0,80035.0,77546.0,78831.0,78831.0,9758400
2020-04-16,IBOVESPA,78837.0,80167.0,77452.0,77812.0,77812.0,9028400
2020-04-17,IBOVESPA,77817.0,79846.0,77754.0,78990.0,78990.0,8317800
2020-04-20,IBOVESPA,78989.0,80106.0,76943.0,78973.0,78973.0,8874700
2020-04-22,IBOVESPA,78973.0,81184.0,78973.0,80687.0,80687.0,9848900
2020-04-23,IBOVESPA,80690.0,81934.0,78622.0,79673.0,79673.0,10823500
2020-04-24,IBOVESPA,79667.0,79667.0,72041.0,75331.0,75331.0,16529200
2020-04-27,IBOVESPA,75334.0,78563.0,75327.0,78239.0,78239.0,10656900
2020-04-28,IBOVESPA,78243.0,81427.0,78243.0,81312.0,81312.0,12939000
2020-04-29,IBOVESPA,81313.0,83598.0,81313.0,83171.0,83171.0,11719700
2020-04-30,IBOVESPA,83169.0,83169.0,80168.0,80506.0,80506.0,11804600
2020-05-04,IBOVESPA,80501.0,80502.0,77640.0,78876.0,78876.0,8594200
2020-05-05,IBOVESPA,78887.0,81066.0,78886.0,79471.0,79471.0,9154700
2020-05-06,IBOVESPA,79473.0,79996.0,78056.0,79064.0,79064.0,9775900
2020-05-07,IBOVESPA,79072.0,80061.0,78061.0,78119.0,78119.0,13808900
2020-05-08,IBOVESPA,78152.0,80557.0,78152.0,80263.0,80263.0,10734400
2020-05-11,IBOVESPA,80263.0,80723.0,78994.0,79065.0,79065.0,9781900
2020-05-12,IBOVESPA,79065.0,80344.0,77872.0,77872.0,77872.0,10245400
2020-05-13,IBOVESPA,77877.0,78911.0,77152.0,77772.0,77772.0,11575900
2020-05-14,IBOVESPA,77770.0,79011.0,75697.0,79011.0,79011.0,13818900
2020-05-15,IBOVESPA,79011.0,79538.0,77426.0,77557.0,77557.0,11718200
2020-05-18,IBOVESPA,77576.0,81420.0,77571.0,81194.0,81194.0,11533100
2020-05-19,IBOVESPA,81197.0,82175.0,80647.0,80742.0,80742.0,10740100
2020-05-20,IBOVESPA,80747.0,82290.0,80740.0,81319.0,81319.0,9522800
2020-05-21,IBOVESPA,81320.0,83309.0,81317.0,83027.0,83027.0,11395200
2020-05-22,IBOVESPA,83027.0,83027.0,81669.0,82173.0,82173.0,9281200
2020-05-25,IBOVESPA,82198.0,85876.0,82193.0,85663.0,85663.0,8764400
2020-05-26,IBOVESPA,85668.0,87333.0,85396.0,85469.0,85469.0,12030800
2020-05-27,IBOVESPA,85468.0,87946.0,85468.0,87946.0,87946.0,11212000
2020-05-28,IBOVESPA,87946.0,88091.0,86767.0,86949.0,86949.0,10117000
2020-05-29,IBOVESPA,86951.0,87410.0,85384.0,87403.0,87403.0,16550900
2020-06-01,IBOVESPA,87395.0,89019.0,86837.0,88620.0,88620.0,9849400
2020-06-02,IBOVESPA,88622.0,91046.0,88622.0,91046.0,91046.0,11827300
2020-06-03,IBOVESPA,91048.0,93710.0,91048.0,93002.0,93002.0,15137900
2020-06-04,IBOVESPA,92993.0,94132.0,92221.0,93829.0,93829.0,11488000
2020-06-05,IBOVESPA,93839.0,97356.0,93839.0,94637.0,94637.0,13320300
2020-06-08,IBOVESPA,94640.0,97693.0,94635.0,97645.0,97645.0,11096500
2020-06-09,IBOVESPA,97644.0,97644.0,95386.0,96747.0,96747.0,11278800
2020-06-10,IBOVESPA,96747.0,97646.0,94665.0,94686.0,94686.0,11739600
2020-06-12,IBOVESPA,94677.0,94703.0,90811.0,92795.0,92795.0,12785600
2020-06-15,IBOVESPA,92780.0,93112.0,90148.0,92376.0,92376.0,13317500
2020-06-16,IBOVESPA,92387.0,95216.0,92387.0,93531.0,93531.0,12034200
2020-06-17,IBOVESPA,93531.0,96611.0,93531.0,95547.0,95547.0,11134700
2020-06-18,IBOVESPA,95547.0,97110.0,94698.0,96125.0,96125.0,10008500
2020-06-19,IBOVESPA,96138.0,97540.0,95874.0,96572.0,96572.0,13134400
2020-06-22,IBOVESPA,96572.0,96870.0,94869.0,95336.0,95336.0,8264700
2020-06-23,IBOVESPA,95344.0,97486.0,95344.0,95975.0,95975.0,9752700
2020-06-24,IBOVESPA,95974.0,95974.0,93259.0,94377.0,94377.0,9962700
2020-06-25,IBOVESPA,94382.0,96260.0,94152.0,95983.0,95983.0,8697900
2020-06-26,IBOVESPA,95979.0,95979.0,93514.0,93834.0,93834.0,8439100
2020-06-29,IBOVESPA,93837.0,95735.0,93825.0,95735.0,95735.0,8906800
